0,sigma1,sigma2,sigma3,sigma4,vix
20190530,0.207016114,0.20003223,0.184179958,0.167251538,20.56629977
20190531,0.216525269,0.207082997,0.180931563,0.168157933,21.41370259
20190603,0.223199586,0.211012027,0.191592004,0.172911238,21.81031036
20190604,0.231082939,0.21585722,0.19495142,0.17289331,22.39617277
20190605,0.226471335,0.215701635,0.194480868,0.173609615,22.08827264
20190606,0.22913391,0.215712458,0.194538707,0.17385922,22.15640847
20190610,0.220976897,0.208825767,0.191295607,0.171657936,21.21341347
20190611,0.211800859,0.195965743,0.192975946,0.175645856,19.97536638
20190612,0.212913878,0.203426273,0.194671147,0.177380677,20.53588633
20190613,0.205676802,0.201258214,0.192094013,0.177462467,20.20172518
20190614,0.202273145,0.201509874,0.192796661,0.178276433,20.16190895
20190617,0.208363764,0.201138658,0.190323472,0.176228584,20.16895192
20190618,0.202102291,0.194932461,0.186619836,0.174040844,19.53492549
20190619,0.196032755,0.182932067,0.185332759,0.17375639,18.34966038
20190620,0.2152911,0.205271734,0.18072741,,21.72908362
20190621,0.243492829,0.213245753,0.186874903,,24.77779276
20190624,0.254169329,0.220902524,0.191093036,,25.41693293
20190625,0.252805105,0.223166952,0.200583949,,25.14433026
20190626,0.253307603,0.222341912,0.199730474,,25.04923379
20190627,0.262783287,0.233721391,0.225721558,0.19522418,25.78739933
20190628,0.274703641,0.242349596,0.227435022,0.195730875,26.75343797
20190701,0.253334081,0.231240105,0.226287984,0.18879536,24.50274221
20190702,0.24730941,0.230453951,0.221991163,0.194527071,24.01347037
20190703,0.236681695,0.222070823,0.21535398,0.197311445,22.97844492
20190704,0.234672713,0.216423083,0.210518059,0.193670964,22.52978217
20190705,0.241137253,0.226227664,0.217401638,0.19834598,23.2820003
20190708,0.235252597,0.218327001,0.210698152,0.190940681,22.38824534
20190709,0.22707661,0.20874607,0.204029734,0.186838159,21.41435372
20190710,0.227238563,0.211484926,0.204358542,0.187503525,21.55847511
20190711,0.230030895,0.214576069,0.209966674,0.191234545,21.81151363
20190712,0.225223136,0.216016415,0.212378278,0.193986989,21.78356078
20190715,0.24137856,0.216699429,0.214964136,0.196026467,21.98072761
20190716,0.245066609,0.219603896,0.216839931,0.196600095,22.22561132
20190717,0.240541525,0.216589812,0.213497344,0.194243404,21.86025452
20190718,0.215735047,0.213385536,0.193416818,,21.78362055
20190719,0.223789252,0.217882103,0.196537748,,22.84593889
20190722,0.21284434,0.211156539,0.19349356,,21.37530014
20190723,0.202881976,0.202684714,0.187331723,,20.29720896
20190724,0.194574864,0.195834526,0.18310075,,19.41003829
20190725,0.183692165,0.188568485,0.17563729,0.158786187,18.22275423
20190726,0.185843826,0.189309185,0.176536629,0.164996901,18.50802657
20190729,0.192466785,0.190211479,0.175690084,0.165604772,19.24667846
20190730,0.194314442,0.191396668,0.177942744,0.168050971,19.4117837
20190731,0.198725912,0.193217383,0.177762883,0.167811677,19.80002963
20190801,0.17672464,0.17734583,0.16589537,0.156476647,17.68468321
20190802,0.182150278,0.180482285,0.167062151,0.158096567,18.17228276
20190805,0.200279325,0.190837154,0.168363837,0.158026929,19.63218981
20190806,0.213056505,0.198608818,0.172209175,0.161114168,20.63028798
20190807,0.20518417,0.192119181,0.168943882,0.154698181,19.84323374
20190808,0.199380587,0.189926648,0.167052637,0.156562303,19.40347471
20190809,0.194274117,0.18495628,0.165471128,0.153794413,18.85936945
20190812,0.200842108,0.188537365,0.169409704,0.158230309,19.18957925
20190813,0.19658201,0.18711402,0.167288229,0.155935467,18.93541446
20190814,0.188527375,0.183668315,0.166365184,0.158483838,18.46503563
20190815,0.195080837,0.189367158,0.171504012,0.162558204,19.03519574
20190816,0.191090377,0.190961083,0.174830078,0.164193119,19.09795589
20190819,0.213643553,0.196138559,0.180415693,0.170707566,19.75052578
20190820,0.210339793,0.194589384,0.179178105,0.169984853,19.55235893
20190821,0.198781633,0.18693232,0.174070156,0.165951289,18.74409976
20190822,0.185472896,0.169945229,0.162070807,,18.8178019
20190823,0.187855998,0.174964139,0.166736912,,18.95448221
20190826,0.198932684,0.177783956,0.167745846,,19.89326844
20190827,0.190043464,0.175406813,0.16669282,,18.942386
20190828,0.189968591,0.175374699,0.166062175,,18.87412077
20190829,0.18529536,0.173705766,0.173661929,0.164054832,18.30767447
20190830,0.188065489,0.176249635,0.175892025,0.164742481,18.50991807
20190902,0.185724383,0.169589719,0.172971287,0.163836418,17.90448971
20190903,0.186380822,0.171650229,0.173228875,0.163652839,17.95170675
20190904,0.181915709,0.168663307,0.17251862,0.162034676,17.50833168
20190905,0.190191398,0.176231892,0.180417508,0.16948064,18.23454422
20190906,0.19437645,0.18626904,0.188306017,0.170965333,18.94275975
20190909,0.208931923,0.196502277,0.194993703,0.174790159,19.98924358
20190910,0.205003493,0.19228779,0.192323558,0.178579369,19.53134458
20190911,0.201124776,0.19281093,0.19305205,0.179475661,19.45021308
20190912,0.188329097,0.186752305,0.189522961,0.176545883,18.70216737
20190916,0.201933257,0.184726373,0.191532822,0.173673852,18.60720919
20190917,0.201713507,0.177901945,0.184756261,0.173266002,17.93477898
20190918,0.194818003,0.176213848,0.182602215,0.171140681,17.70280601
20190919,0.175806652,0.182511046,0.170838338,,17.43984164
20190920,0.170046696,0.183991927,0.173214088,,16.78199961
20190923,0.168179192,0.179359551,0.170001365,,16.81791921
20190924,0.164432184,0.174253049,0.166135131,,16.49237778
20190925,0.165908026,0.174328483,0.165617784,,16.6737389
20190926,0.169293609,0.166521785,0.173013555,0.164446413,16.88059173
20190927,0.17313844,0.174365525,0.177239088,0.166805137,17.34243658
20190930,0.177137529,0.172639671,0.178518673,0.164952102,17.54120339
20191008,0.16619805,0.161032266,0.168549603,0.158436066,16.25249593
20191009,0.162307974,0.15268975,0.163663797,0.155372609,15.51827587
20191010,0.163707505,0.154104188,0.161710007,0.154674221,15.62954611
20191011,0.163623379,0.159198489,0.167107673,0.158870568,16.00677562
20191014,0.153248199,0.14836041,0.157532369,0.150740908,14.89554135
20191015,0.145426763,0.144045823,0.151723492,0.147332407,14.41831923
20191016,0.1516566,0.142780907,0.14813944,0.144507236,14.35111647
20191017,0.146162587,0.151700607,0.147520777,,14.09716122
20191018,0.149896488,0.155463757,0.149383041,,14.52334265
20191021,0.14492832,0.150662751,0.146847634,,14.17253244
20191022,0.142394235,0.148181074,0.145025512,,13.96689904
20191023,0.144432368,0.147147852,0.145328007,,14.34008044
20191024,0.141239007,0.143728591,0.141033433,0.136006056,14.04955518
20191025,0.137973749,0.141796074,0.138663002,0.134791378,13.71268947
20191028,0.139498837,0.142438471,0.13640956,0.129636224,13.94988371
20191029,0.14148432,0.143029981,0.136510928,0.1330808,14.15897378
20191030,0.144063381,0.143626281,0.136277097,0.1327143,14.40051773
20191031,0.145143527,0.146122332,0.138661878,0.13486708,14.53363125
20191101,0.134843865,0.144304255,0.139488362,0.132378429,13.73387914
20191104,0.134982832,0.140534347,0.137144939,0.133745752,13.73696421
20191105,0.137170081,0.142456093,0.138584321,0.137721303,13.97121746
20191106,0.134670964,0.139918282,0.13650597,0.136187039,13.74507861
20191107,0.136810163,0.142081,0.13771048,0.13734611,13.98463974
20191108,0.138820431,0.144684451,0.13998834,0.136714267,14.24581618
20191111,0.153247023,0.149510192,0.139968606,0.135661494,15.05157519
20191112,0.14693122,0.145213017,0.136644731,0.132262177,14.56136926
20191113,0.15031759,0.147523312,0.138273967,0.133586553,14.80863861
20191114,0.151610048,0.150745563,0.140214483,0.135175976,15.08930813
20191115,0.147931028,0.150759279,0.141501622,0.137188224,15.03585006
20191118,0.141601065,0.142224157,0.136684145,0.133246232,14.217752
20191119,0.136724216,0.133846257,0.131285227,0.129712376,13.40123769
20191120,0.141296584,0.134625217,0.130586428,0.12750335,13.49097773
20191121,0.135894389,0.128953066,0.127148439,,13.71276297
20191122,0.141121049,0.13081017,0.128283142,,14.246829
20191125,0.140568658,0.130637255,0.1287584,,14.05686583
20191126,0.141887323,0.131186195,0.128662987,,14.14339575
20191127,0.139074651,0.131152796,0.128296217,,13.84020711
20191128,0.134294337,0.129708998,0.129379541,0.12785092,13.34060849
20191129,0.14004493,0.135209258,0.133419888,0.129029628,13.88175606
20191202,0.134577588,0.132450401,0.130558402,0.124622256,13.36776697
20191203,0.133683394,0.131790334,0.130005465,0.123924076,13.2785303
20191204,0.133923836,0.132123761,0.130472489,0.124655141,13.29818347
20191205,0.13031224,0.128008257,0.125200918,0.122795634,12.90007168
20191206,0.126575115,0.124715712,0.123124909,0.121622455,12.54339583
20191209,0.132432432,0.127036946,0.124892702,0.124683439,12.84978961
20191210,0.131668009,0.12687783,0.126886405,0.125934214,12.80058129
20191211,0.129536997,0.12403078,0.127451293,0.1236892,12.51514049
20191212,0.132066116,0.12631513,0.128318777,0.127391353,12.73125166
20191213,0.149837378,0.139879924,0.134800038,0.130510451,14.13453719
20191216,0.140105508,0.136503882,0.133770285,0.131920089,13.67772939
20191217,0.146272714,0.140809943,0.136222837,0.132451927,14.11277978
20191218,0.15707282,0.144567389,0.139612541,0.136129492,14.51099674
20191219,0.150298001,0.145501327,0.140503343,,15.12638977
20191220,0.148440443,0.147448435,0.140397659,,14.85910248
20191223,0.1464082,0.141485436,0.138413908,,14.64082003
20191224,0.138370877,0.140559362,0.134566973,,13.84782069
20191225,0.138726346,0.140861886,0.136529756,,13.89334184
20191226,0.136724623,0.131777352,0.142002154,0.137939977,13.58613792
20191227,0.139425248,0.135241889,0.14317226,0.13969006,13.84643879
20191230,0.146738599,0.141112697,0.1488609,0.146529945,14.45892092
20191231,0.147624135,0.149252785,0.154967054,0.153823076,14.83336313
20200102,0.147829491,0.156153733,0.161410463,0.1531825,15.22465822
20200103,0.144735696,0.150741693,0.157581358,0.156840049,14.81632846
20200106,0.159137843,0.155415552,0.164577482,0.160697819,15.66163104
20200107,0.159184379,0.156913577,0.167633485,0.163148292,15.75657174
20200108,0.164983226,0.160161701,0.169271396,0.161286735,16.13967774
20200109,0.152792389,0.1531419,0.166989015,0.162265709,15.30640782
20200110,0.145856246,0.149651457,0.165178622,0.160986114,14.89216722
20200113,0.141592495,0.151339493,0.166494482,0.159717572,15.02032528
20200114,0.143188605,0.141735891,0.163412122,0.15841676,14.1880443
20200115,0.151126191,0.143392625,0.158432153,0.156079614,14.40265926
20200116,0.137715842,0.150984311,0.149564861,,12.45167634
20200117,0.132534593,0.148239481,0.150433045,,11.83038569
20200120,0.137490881,0.15266656,0.154139734,,12.85247133
20200121,0.158954219,0.164680739,0.157339197,,15.62665033
20200122,0.151443084,0.164173369,0.157074964,,14.63840841
20200123,0.168391742,0.174814849,0.16311553,0.156405725,16.64480115
20200203,0.107242744,0.16654135,0.144697565,0.123034127,13.56498714
20200204,0.223637483,0.206037686,0.175488832,0.162181708,21.5436019
20200205,0.20004982,0.191753646,0.167041329,0.156242714,19.57381773
20200206,0.200319981,0.192856669,0.16987491,0.159691851,19.60900169
20200207,0.216962568,0.20444887,0.177927973,0.165379784,20.93492164
20200210,0.212507149,0.2032036,0.175572775,0.163211888,20.57256894
20200211,0.19329679,0.189172742,0.167904348,0.157133003,19.01380826
20200212,0.184062257,0.183028849,0.166364299,0.156939114,18.32359965
20200213,0.189767407,0.186004753,0.169002456,0.16092147,18.66506576
20200214,0.180104157,0.178781048,0.167772797,0.160237677,17.89706622
20200217,0.186597143,0.179695362,0.167559016,0.159379817,18.02221641
20200218,0.189261888,0.181337402,0.169600852,0.162651958,18.17995357
20200219,0.182689224,0.185850824,0.172173038,0.164243197,18.57201654
20200220,0.187403642,0.175184363,0.166077904,,18.95562815
20200221,0.198072856,0.18345718,0.175117569,,19.99817649
20200224,0.216019763,0.192528164,0.180463599,,21.60197631
20200225,0.220363168,0.19242374,0.180080168,,21.92098984
20200226,0.227875573,0.196840417,0.183379897,,22.53400831
20200227,0.199555547,0.19409857,0.183010333,0.172848494,19.8495481
20200228,0.232159307,0.198070849,0.192139997,0.176940889,22.3889966
20200302,0.209433606,0.198320525,0.183640652,0.170967476,20.4784248
20200303,0.205529521,0.195896271,0.180159606,0.16916296,20.09998475
20200304,0.207073889,0.196133505,0.183656247,0.171928597,20.14043012
20200305,0.212692633,0.201449849,0.187772212,0.176393862,20.63432074
20200306,0.227530984,0.213955767,0.192485321,0.180730811,21.92752348
20200309,0.292936556,0.253413994,0.213565501,0.193068365,26.45313441
20200310,0.28862093,0.251097674,0.21352109,0.193873382,26.02909886
20200311,0.289640965,0.250698985,0.217731485,0.195574555,25.89562951
20200312,0.314446549,0.274221195,0.228819764,0.20408302,28.14753883
20200313,0.396563409,0.311757959,0.242599374,0.210553072,32.52297398
20200316,0.42708332,0.299796896,0.253453424,0.21288307,31.11548294
20200317,0.422013342,0.339786459,0.259711455,0.214722586,34.50134638
20200318,0.364596186,0.281104493,0.22022178,0.196516313,28.50719433
20200319,0.3109588,0.242888105,0.215048388,,32.31640435
20200320,0.294647928,0.23573738,0.200756184,,30.26195435
20200323,0.332666057,0.257305483,0.215157155,,33.26660569
20200324,0.308135763,0.244676249,0.208712703,,30.53522442
20200325,0.30473856,0.239581975,0.205690142,,29.90824952
20200326,0.306041543,0.249874401,0.240659348,0.20426171,29.68674457
20200327,0.309146355,0.262481525,0.240161936,0.207049828,29.8952715
20200330,0.311929058,0.25332875,0.240052924,0.207225274,29.06745289
20200331,0.299137519,0.244763697,0.23559728,0.202303368,27.68387522
20200401,0.284617062,0.236053088,0.230152694,0.198472561,26.24303385
20200402,0.265298725,0.237543608,0.224336501,0.196172738,25.11431731
20200403,0.278521134,0.243078619,0.228032103,0.199680408,25.90671172
20200407,0.268904458,0.222211384,0.216856865,0.190745516,23.64948538
20200408,0.252922345,0.219476278,0.209093773,0.185262298,22.84129413
20200409,0.241150949,0.21121106,0.202292507,0.180679383,21.82393528
20200410,0.23312782,0.205916241,0.200483078,0.179668448,21.14772933
20200413,0.225061918,0.194451869,0.190628274,0.173368234,19.83746204
20200414,0.214471328,0.187432146,0.185957867,0.171105248,19.02818269
20200415,0.219057651,0.193613382,0.191768872,0.174653203,19.57706586
20200416,0.191223879,0.191392715,0.175690367,,19.10711949
20200417,0.192688998,0.190728879,0.174676716,,19.42612767
20200420,0.195776976,0.193039265,0.174921477,,19.72440379
20200421,0.19466485,0.194862271,0.1764636,,19.45745341
20200422,0.192614537,0.193636523,0.17503915,,19.22298911
20200423,0.186913057,0.189037977,0.17400431,0.145391003,18.62810653
20200424,0.183702028,0.186775235,0.172395063,0.144047915,18.30256629
20200427,0.179030237,0.179613506,0.164573012,0.154719923,17.90302372
20200428,0.176877827,0.178128576,0.162648909,0.15196592,17.69629791
20200429,0.185126657,0.184427571,0.167428888,0.154561095,18.50335978
20200430,0.203340252,0.197387998,0.175327465,0.16177179,20.21848891
20200506,0.196386174,0.192109043,0.171086348,0.157746346,19.41524295
20200507,0.182192957,0.183669619,0.165909214,0.15457451,18.30382227
20200508,0.173949295,0.176797914,0.163840102,0.152057911,17.5708017
20200511,0.178939614,0.178006899,0.162960518,0.150126135,17.83
20200512,0.179157216,0.179808267,0.16328156,0.151495503,17.97
20200513,0.176032241,0.178875727,0.161689055,0.152475678,17.83
20200514,0.177085806,0.177774207,0.162118022,0.152193409,17.77
20200515,0.172754043,0.175202636,0.162090609,0.150944973,17.49
20200518,0.170288626,0.170144874,0.156824485,0.148109464,17.02
20200519,0.165873478,0.164870623,0.154007514,0.145388461,16.49
20200520,0.173002712,0.165209778,0.154841927,0.145416473,16.55
20200521,0.172979128,0.159733245,0.149311518,,17.53
20200522,0.197430805,0.167649709,0.148773433,,20.11
20200525,0.178620485,0.158803788,0.146864239,,17.86
20200526,0.173332263,0.156762838,0.146257638,,17.26
20200527,0.180449501,0.162082773,0.149557877,,17.89
20200528,0.185155413,0.173867538,0.167188352,0.153287627,18.3
20200529,0.190067063,0.176550435,0.167820862,0.154062718,18.67
20200601,0.1720955,0.162049137,0.162040678,0.150767943,16.79
20200602,0.168955459,0.165526469,0.160899923,0.149641212,16.73
20200603,0.175775432,0.171449741,0.164348879,0.15313027,17.35
20200604,0.180567459,0.171241341,0.163864989,0.151300554,17.53
20200605,0.172090665,0.167978043,0.161819292,0.151695308,16.96
20200608,0.177946987,0.165112735,0.160576843,0.149319536,16.86
20200609,0.177570597,0.168309675,0.163517535,0.151500684,17.05
20200610,0.182014583,0.171125875,0.165280521,0.152713448,17.34
20200611,0.187119326,0.17649132,0.16672783,0.152910521,17.83
20200612,0.179698749,0.174014923,0.166818132,0.154076271,17.48
20200615,0.205253149,0.187813903,0.170687724,0.15489281,18.92
20200616,0.175047997,0.170605719,0.163703543,0.151729854,17.09
20200617,0.174107228,0.173519182,0.166942128,0.154368832,17.35
20200618,,0.176427222,0.167778164,0.15553078,17.82
20200619,,0.178825737,0.170754459,0.157774758,18.00
20200622,,0.189971601,0.179331664,0.164074052,19.00
20200623,,0.194285197,0.181281948,0.165872074,19.37
20200624,,0.188294183,0.177594516,0.165126617,18.73
20200629,0.187354216,0.169197044,0.174934968,0.160977179,18.06
20200630,0.176272458,0.166614002,0.169279658,0.15732073,17.21
20200701,0.18509786704842807,0.1745427794197164,0.17437646040525367,0.15617382023114848,18.010863912507087
20200702,0.228135424972759,0.20364586356381675,0.19446434405776225,0.17529493474938246,21.565467728006986
20200703,0.25369666688633713,0.21929570819990035,0.20922588732492553,0.18617170140882555,23.48553605195785
20200706,0.361845322429635,0.2817355867114151,0.24335419401832398,0.20402390905626727,30.963399637942096
20200707,0.3455345868484726,0.2846962894157558,0.2561710825145794,0.2249447530262216,30.332636535882983
20200708,0.3635020237264953,0.3013735299656545,0.27378162837399495,0.23330034894340043,31.826188292858465
20200709,0.36297261792401325,0.3059593039676304,0.27783345111518654,0.23677470186241062,31.954722205211716
20200710,0.33742741218860167,0.29837555397216425,0.2754906675922739,0.23517928432714608,30.635265140711564
20200713,0.31700087938801336,0.2753150813557672,0.25808435248346756,0.22572738703244907,28.06444969053084
20200714,0.32078768554896636,0.2757827210232133,0.25540224664566064,0.22464443355667352,28.056265269928897
20200715,0.3242407988993449,0.2801670100192832,0.25864609818862594,0.22536561368734587,28.394477786457763
20200716,,0.2935128298516003,0.2599705233365317,0.22205203683236463,32.081876924661394
20200717,,0.2619461660627735,0.24246838801409834,0.21111773617088941,27.671151752965283
20200720,,0.2672285406345595,0.24533943340851302,0.2133755041971949,27.83673943572815
20200721,,0.2568435007801242,0.2413397353425733,0.21188116641892663,26.362743694512197
20200722,,0.25534736398826585,0.2441293905781216,0.21217291395108295,25.94290753802424
20200723,0.2640565900597659,0.24881782327009214,0.21637697530860434,0.19631522258033596,26.839027145203058
20200724,0.288676976340614,0.2620654983800584,0.22159626524595563,0.196930575507689,29.415527612537563
20200727,0.2789633369144441,0.2581652020403515,0.21841690115541523,0.20112602705273255,27.896333691444408
20200728,0.2749925066662241,0.2560604061879141,0.2182700054404681,0.19962077907836906,27.374924035978687
20200729,0.2820239187954503,0.2614173014520551,0.2236278286665813,0.20610445137433098,27.936420565784793
20200730,0.284549603916217,0.2645504274842084,0.22653180655866623,0.2084704861767943,28.07336588712775
20200731,0.2943627700390593,0.27244178899257154,0.23169062393479706,0.21205312974621635,28.888486117270357
20200803,0.30600485636575786,0.28074452379898573,0.2343386583936037,0.21320975930321984,29.553314740819992
20200804,0.3054726823438128,0.280355560563046,0.23515940594629386,0.20766641066828057,29.378008941154484
20200805,0.30602073466818835,0.27948999103272654,0.23329062409497947,0.21142531937599862,29.239241045755794
20200806,0.3073424827788161,0.2812908037077443,0.23418239197738552,0.21128934342346103,29.273983333917496
20200807,0.2957625711477311,0.27713629486434155,0.23193666613073466,0.2112467568384055,28.444290982819552
20200810,0.30253402819085723,0.27862346547299216,0.2303902166456839,0.2085828676251589,28.519569228718744
20200811,0.2923586375650041,0.27087922244238377,0.22417522848057747,0.20445163834069477,27.601453228944557
20200812,0.2894963430501927,0.2671559717529408,0.22280293681137311,0.20406384528445015,27.17710012538009
20200813,0.28470841975157457,0.263824626017795,0.22049461676059626,0.20179396356010995,26.749502322293868
20200814,0.2810561963222952,0.2608371175936904,0.2199191038493772,0.20047911889974973,26.38204467811569
20200817,0.32704080340390146,0.288334390940294,0.23528990040962133,0.21302708611974008,29.14157570479369
20200818,0.31184017754586907,0.28597363616194205,0.23452119610635871,0.21175063413198597,28.751442059701045
20200819,0.28897122883508336,0.27572780803217545,0.22759524136185746,0.20639270821129194,27.629229132581877
20200820,,0.26881684293390773,0.22449437922614648,0.20517297865720174,27.61648627982403
20200821,,0.2690964367799213,0.22405958433273565,0.20576593253853492,27.4662222439746
20200824,,0.2660271217196244,0.22094758706000298,0.20264253411538496,26.602712171962438
20200825,,0.2625263079266471,0.2218232167448262,0.20069551490272536,26.087063828629915
20200826,0.27141298222632976,0.2230110192279756,0.20293427403533965,,26.754197161056116
20200827,0.2573397938398801,0.23004816335480288,0.2202804303839928,0.20155150278859435,25.272016922643843
20200828,0.264745217414734,0.23215711857052806,0.22750687089920954,0.20740680155790311,25.75404076581611
20200831,0.26696950008567366,0.23821512831611666,0.22753610490422269,0.20724826919938608,25.62340548872456
20200901,0.26817819174616875,0.23847444308407642,0.22860475177383247,0.20813113154487053,25.57024975644272
20200902,0.27373786569833336,0.24473406585709423,0.23213625721376452,0.21120169810865747,26.021979973963226
20200903,0.2742574057945962,0.24847505175511522,0.2353814885622374,0.2137493956314099,26.1070106541701
