trade_date,s0,delta_s,balance,return,from_gamma,from_vega,from_theta
20200228,2.814,-0.08400000000000007,0.004961418705965302,0.004961418705965302,0.00548963764190335,0.005532019049895292,-0.0006311107337447395
20200302,2.899,0.08499999999999996,-0.0013135823970455637,-0.006275001103010866,0.005365340093427039,-0.004426624336891232,-0.002150442095930034
20200303,2.907,0.008000000000000007,-0.0010273969955824497,0.00028618540146311405,5.2674812164478415e-05,0.0010190217806702684,-0.0007396014646265292
20200304,2.939,0.03200000000000003,-0.004572262673443753,-0.003544865677861303,0.0008078660631332655,-0.0033553659766450924,-0.000761285824437295
20200305,3.004,0.06499999999999995,-0.003579809887557489,0.0009924527858862636,0.00312926019382086,-0.001565080427082661,-0.0006795710792994998
20200306,2.951,-0.052999999999999936,-0.0007084406656973977,0.0028713692218600914,0.002312176667287121,0.0037538614749109073,-0.0008722779856021835
20200309,2.861,-0.08999999999999986,0.0050515341081510574,0.005759974773848455,0.005678746026116248,0.008867256054971961,-0.0024486752659641075
20200310,2.911,0.04999999999999982,0.008980872830753123,0.003929338722602066,0.001907119837031695,0.0015692455285762725,-0.001118749871979746
20200311,2.874,-0.03699999999999992,0.009767240300903247,0.0007863674701501233,0.000918063790996986,0.00015561450010704008,-0.0012058671200998099
20200312,2.836,-0.038000000000000256,0.015356690833800857,0.005589450532897611,0.0011555145163431105,0.007642138201844184,-0.0012281131041433132
20200313,2.796,-0.040000000000000036,0.023785718818583462,0.008429027984782605,0.0011423920517509606,0.011684368889877516,-0.0014870099765400984
20200316,2.687,-0.10899999999999999,0.03932345275228846,0.015537733933705,0.007173456167520418,0.02283388691599709,-0.005805913963054382
20200317,2.675,-0.01200000000000001,0.04186087427934665,0.002537421527058187,-8.508840077621875e-05,0.00013557543884930518,0.002544220176119053
20200318,2.618,-0.05699999999999994,0.036796751004351216,-0.005064123274995433,-0.00215463023521008,0.0010132957569235178,0.002702960713314132
20200319,2.564,-0.053999999999999826,0.034897781972967765,-0.0018989690313834517,-0.002986093909690398,-0.0036171712974673665,0.0020855092083142592
20200320,2.624,0.06000000000000005,0.02579638529437321,-0.009101396678594553,0.00393273481306855,-0.006662651100886502,-0.002222260445691971
20200323,2.553,-0.07100000000000017,0.030816481850796093,0.005020096556422882,0.006557184154820513,0.012090045781860896,-0.006399834390302439
20200330,2.68,-0.01200000000000001,0.02963986607085889,-0.001176615779937204,7.70185844634431e-05,0.00171741739526933,-0.0029927515614215543
20200331,2.675,-0.0050000000000003375,0.02551165200094991,-0.0041282140699089795,1.4082557258707784e-05,-0.0038084633713196996,-0.0010712883748802036
20200401,2.671,-0.0040000000000000036,0.020791957695644486,-0.004719694305305423,9.995383343208032e-06,-0.004521940230766271,-0.001007294219170039
20200402,2.706,0.03500000000000014,0.020595608190040443,-0.00019634950560404318,0.0008993120456842517,0.0002848797980248509,-0.0009182119882006105
20200403,2.694,-0.01200000000000001,0.020364590061181936,-0.0002310181288585067,0.00010178667730725732,0.0006157985904314113,-0.0009736135895938326
20200407,2.743,0.04899999999999993,0.014662112350450798,-0.005702477710731138,0.001734431749963147,-0.0005037612852550498,-0.0039469303987138705
20200408,2.73,-0.0129999999999999,0.012050132920752996,-0.002611979429697802,0.00013790504290368355,-0.0025024391140088613,-0.0011097370421156718
20200409,2.739,0.008999999999999897,0.00795654498460081,-0.004093587936152186,7.453502857944773e-05,-0.0030021570355660753,-0.0010465704363203812
20200410,2.738,-0.0009999999999998899,0.006772623679703386,-0.0011839213048974243,1.0518954443523077e-06,-0.00034091464154128515,-0.0009533538125605706
20200413,2.726,-0.01200000000000001,0.005735229766218444,-0.0010373939134849415,0.00016471037419850697,0.0008011830357966845,-0.0029604341867003267
20200414,2.771,0.04499999999999993,0.005302919438371946,-0.0004323103278464982,0.0026777210628294293,0.0017234897442832933,-0.0011376247276403998
20200417,2.793,0.040000000000000036,0.006285606720818956,0.0009826872824470097,0.003086725494215398,0.013574421653268267,-0.0011505535128277942
20200420,2.803,0.009999999999999787,0.008899547178063797,0.0026139404572448413,-0.00017988463463625685,-0.004539858645900915,0.003997563673752418
20200424,2.765,-0.021999999999999797,0.008351548604424556,-0.0005479985736392412,-0.000357056074337165,-0.0012247744398500712,0.0005110848904190575
20200427,2.79,0.02499999999999991,0.01313927069712752,0.0047877220927029646,-0.00048585360478889026,0.0025740650071447544,0.0016064773654308677
20200428,2.81,0.020000000000000018,0.014743207260167496,0.001603936563039976,-0.00033933485093919113,0.0008847574561670896,0.0005004083760027441
20200429,2.829,0.019000000000000128,0.01328226299692745,-0.0014609442632400466,-0.00034362545068889394,-0.0015437033893588143,0.000505618722448083
20200430,2.852,0.022999999999999687,0.00656780083393738,-0.00671446216299007,-0.00047068653950735556,-0.005151660459858511,0.0005463852241000451
20200525,2.78,0.01200000000000001,0.001457393131298404,-0.005110407702638976,0.0003306764687057088,0.000996090660846128,-0.004074898284555731
20200701,3.027,0.07100000000000017,-0.003463420566500619,-0.004920813697799023,-0.003904204788358921,-9.77201539725469e-05,0.0005485922753983402
20200702,3.103,0.07600000000000007,-0.02329458456011748,-0.01983116399361686,-0.0061310186984297734,-0.005391326873025994,0.0007526261239718505
20200708,3.447,0.04499999999999993,-0.0322670027713959,-0.008972418211278421,-0.000863049787861185,-0.010175764957174415,0.0021358246463714374
20200709,3.459,0.01200000000000001,-0.022486096813174004,0.009780905958221897,-4.76416986847074e-05,0.007121052355363748,0.0028161283765456386
20200710,3.373,-0.08599999999999985,-0.02235595499715214,0.00013014181602186495,-0.002941890448373274,0.003072683423138844,0.002604653370280698
20200713,3.416,0.042999999999999705,-0.007381158955762274,0.014974796041389866,-0.0008922255791980697,0.006233592939355422,0.006935968891593007
20200714,3.38,-0.03600000000000003,-0.007133893051259992,0.0002472659045022821,-0.0008033101826994593,-0.000909875653516314,0.0023667043792485794
20200715,3.35,-0.029999999999999805,-0.00788215704358508,-0.0007482639923250892,-0.0006561791717624314,-0.002662277141928116,0.0023252171739745883
20200716,3.206,-0.14400000000000013,-0.018348766598929072,-0.010466609555343991,-0.015183778964701357,-0.0150584750989135,0.00256346984487113
