,,option,position,wind_id,k,p,close,iv,delta,gamma,vega,theta
20200302,open a position,option(delta>0.5),-0.8777857048127853,10002069.SH,2.9,0.8777857048127853,0.0566,0.1904599964618683,0.5171697101699969,2.875663913393311,0.29005028845206715,-0.4671945120844238
20200303,close a position,option(delta<0.25),-0.07383874265479194,10002072.SH,3.1,0.03691937132739597,0.0071,0.2013273537158966,0.10539414497381139,1.2689482395172327,0.13012674683979647,-0.22331054424104851
20200303,close a position,option(delta>0.25),-1.926161257345208,10002071.SH,3.0,0.963080628672604,0.0229,0.19630751013755798,0.2728249869331184,2.372291138973766,0.23720551456091857,-0.4016837433871482
20200303,close a position,option(delta<0.5),0.12221429518721473,10002070.SH,2.95,0.12221429518721473,0.038,0.1936596930027008,0.39754440801170576,2.7907096648540843,0.27527943954029443,-0.46458832489339386
20200303,close a position,option(delta>0.5),0.8777857048127853,10002069.SH,2.9,0.8777857048127853,0.06,0.19210544228553772,0.5399306880326088,2.8951943173033095,0.28329392793012365,-0.481649330150428
20200303,open a position,option(delta<0.25),0.27264973007381604,10002072.SH,3.1,0.13632486503690802,0.0071,0.2013273537158966,0.10539414497381139,1.2689482395172327,0.13012674683979647,-0.22331054424104851
20200303,open a position,option(delta>0.25),1.727350269926184,10002071.SH,3.0,0.863675134963092,0.0229,0.19630751013755798,0.2728249869331184,2.372291138973766,0.23720551456091857,-0.4016837433871482
20200303,open a position,option(delta<0.5),-0.2804391548592095,10002070.SH,2.95,0.2804391548592095,0.038,0.1936596930027008,0.39754440801170576,2.7907096648540843,0.27527943954029443,-0.46458832489339386
20200303,open a position,option(delta>0.5),-0.7195608451407904,10002069.SH,2.9,0.7195608451407904,0.06,0.19210544228553772,0.5399306880326088,2.8951943173033095,0.28329392793012365,-0.481649330150428
20200304,close a position,option(delta<0.25),-0.27264973007381604,10002072.SH,3.1,0.13632486503690802,0.0101,0.19955143332481384,0.14315318249504672,1.6062594807953272,0.15929280433260146,-0.2844576442719593
20200304,close a position,option(delta>0.25),-1.727350269926184,10002071.SH,3.0,0.863675134963092,0.0308,0.1931203305721283,0.3462463807976327,2.709925978225562,0.2600824375649059,-0.45623470303193636
20200304,close a position,option(delta<0.5),0.2804391548592095,10002070.SH,2.95,0.2804391548592095,0.0509,0.1939777433872223,0.48711803284839716,2.915874793555137,0.28109063510206933,-0.5014658548199762
20200304,close a position,option(delta>0.5),0.7195608451407904,10002069.SH,2.9,0.7195608451407904,0.08,0.20172980427742004,0.6270502076852632,2.6617962068607786,0.26685200573252743,-0.5030837507299094
20200304,open a position,option(delta<0.25),0.9478050629173355,10002072.SH,3.1,0.47390253145866773,0.0101,0.19955143332481384,0.14315318249504672,1.6062594807953272,0.15929280433260146,-0.2844576442719593
20200304,open a position,option(delta>0.25),1.0521949370826644,10002071.SH,3.0,0.5260974685413322,0.0308,0.1931203305721283,0.3462463807976327,2.709925978225562,0.2600824375649059,-0.45623470303193636
20200304,open a position,option(delta<0.5),-0.9079413496815816,10002070.SH,2.95,0.9079413496815816,0.0509,0.1939777433872223,0.48711803284839716,2.915874793555137,0.28109063510206933,-0.5014658548199762
20200304,open a position,option(delta>0.5),-0.09205865031841842,10002069.SH,2.9,0.09205865031841842,0.08,0.20172980427742004,0.6270502076852632,2.6617962068607786,0.26685200573252743,-0.5030837507299094
20200305,close a position,option(delta<0.25),-0.9478050629173355,10002072.SH,3.1,0.47390253145866773,0.0215,0.19679757952690125,0.2623747161362465,2.3549147546422056,0.22915636849234355,-0.42684741804750476
20200305,close a position,option(delta>0.25),-1.0521949370826644,10002071.SH,3.0,0.5260974685413322,0.0574,0.1915951669216156,0.5305168588290768,2.9524593242665644,0.27970836881532485,-0.5197412437224601
20200305,close a position,option(delta<0.5),0.9079413496815816,10002070.SH,2.95,0.9079413496815816,0.0879,0.19644483923912048,0.6705011158888664,2.6200704725463675,0.25450163966611455,-0.49473495185628796
20200305,close a position,option(delta>0.5),0.09205865031841842,10002069.SH,2.9,0.09205865031841842,0.1257,0.20589402318000793,0.7816832027149008,2.0360999410749803,0.20729070044474657,-0.43390376285777454
20200305,open a position,option(delta<0.25),0.16465257540527384,10002073.SH,3.2,0.08232628770263692,0.008,0.2138645350933075,0.11206165719031086,1.2670930664455367,0.1339936675303054,-0.268063166825851
20200305,open a position,option(delta>0.25),1.835347424594726,10002072.SH,3.1,0.917673712297363,0.0215,0.19679757952690125,0.2623747161362465,2.3549147546422056,0.22915636849234355,-0.42684741804750476
20200305,open a position,option(delta<0.5),-0.11380851410602535,10002072.SH,3.1,0.11380851410602535,0.0215,0.19679757952690125,0.2623747161362465,2.3549147546422056,0.22915636849234355,-0.42684741804750476
20200305,open a position,option(delta>0.5),-0.8861914858939747,10002071.SH,3.0,0.8861914858939747,0.0574,0.1915951669216156,0.5305168588290768,2.9524593242665644,0.27970836881532485,-0.5197412437224601
20200306,close a position,option(delta<0.25),-0.16465257540527384,10002073.SH,3.2,0.08232628770263692,0.0053,0.23905912041664124,0.07509760780028117,0.8803439492086264,0.09540186314718645,-0.22339047668526812
20200306,close a position,option(delta>0.25),-1.835347424594726,10002072.SH,3.1,0.917673712297363,0.0138,0.22105559706687927,0.175977524261003,1.7380950460696383,0.1741703372742577,-0.37992557985918674
20200306,close a position,option(delta<0.5),0.11380851410602535,10002072.SH,3.1,0.11380851410602535,0.0138,0.22105559706687927,0.175977524261003,1.7380950460696383,0.1741703372742577,-0.37992557985918674
