,,option,position,wind_id,k,p,close,iv,delta,gamma,vega,theta
20200227,open a position,option(delta<-0.25),-1.9784081797364828,10002076.SH,2.8,0.9892040898682414,0.0249,0.20492467284202576,-0.25090597066338927,1.971180339132249,0.250950618950378,-0.3325609774547928
20200227,open a position,option(delta>-0.25),-0.021591820263517247,10002075.SH,2.75,0.010795910131758624,0.0152,0.21141204237937927,-0.1669880191120745,1.5012641824790134,0.19717620654256485,-0.271779966208166
20200227,open a position,option(delta<-0.5),0.12327437775094044,10002079.SH,2.95,0.12327437775094044,0.0861,0.18694356083869934,-0.6161013546260827,2.592002998175209,0.30103269888391665,-0.34295368222934036
20200227,open a position,option(delta>-0.5),0.8767256222490596,10002078.SH,2.9,0.8767256222490596,0.0575,0.1865701973438263,-0.48367525496647823,2.710629485902851,0.3141811254627522,-0.3670225642335469
20200228,close a position,option(delta<-0.25),1.9784081797364828,10002076.SH,2.8,0.9892040898682414,0.0618,0.23584875464439392,-0.446962116691656,2.2322937484610548,0.2969706982504093,-0.46523708385165596
20200228,close a position,option(delta>-0.25),0.021591820263517247,10002075.SH,2.75,0.010795910131758624,0.043,0.2429983913898468,-0.3412240835052319,2.0104606408723407,0.27556727625786925,-0.4499604809334683
20200228,close a position,option(delta<-0.5),-0.12327437775094044,10002079.SH,2.95,0.12327437775094044,0.1557,0.2323630154132843,-0.7602411417347295,1.780384487444791,0.2333508972237043,-0.3346971884734213
20200228,close a position,option(delta>-0.5),-0.8767256222490596,10002078.SH,2.9,0.8767256222490596,0.1156,0.21992531418800354,-0.676971975705464,2.1735630970638864,0.26963492401563094,-0.3758252106610157
20200302,open a position,option(delta<-0.25),-0.10497997185983715,10002077.SH,2.85,0.052489985929918576,0.0378,0.21030333638191223,-0.35450806724324213,2.431408430332109,0.27079178379473773,-0.43056291993216705
20200302,open a position,option(delta>-0.25),-1.8950200281401628,10002076.SH,2.8,0.9475100140700814,0.0233,0.21544387936592102,-0.24421048126383704,2.001607314172518,0.22837283443679135,-0.3757781161045691
20200302,open a position,option(delta<-0.5),0.1333084713483673,10002079.SH,2.95,0.1333084713483673,0.0869,0.20616081357002258,-0.6128493693666337,2.5520124367711476,0.2786251454349132,-0.41851549643079144
